idracIP,rackLabel,Oem.Dell.DellSystem.PopulatedDIMMSlots,Oem.Dell.DellSystem.MaxDIMMSlots,MemorySummary.TotalSystemMemoryGiB,VolatileSizeMiB,AllowedSpeedsMHz,MemoryType,MemoryDeviceType,DataWidthBits,BusWidthBits,RankCount,OperatingSpeedMhz
10.243.19.152,anchorsteam,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.153,anchorsteam,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.155,anchorsteam,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.156,anchorsteam,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.157,anchorsteam,4,24,64,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.158,anchorsteam,4,24,64,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.70,eaglemonk,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.72,eaglemonk,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.74,eaglemonk,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.76,eaglemonk,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.78,eaglemonk,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.80,eaglemonk,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.82,eaglemonk,4,24,64,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.84,eaglemonk,4,24,64,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.198,nightshift,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.199,nightshift,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.200,nightshift,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.201,nightshift,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.202,nightshift,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.203,nightshift,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.204,nightshift,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.205,nightshift,24,24,384,0,[2666],,DDR4,64,72,2,2666
10.243.19.206,nightshift,24,24,384,0,[2666],,DDR4,64,72,2,2666
10.243.19.207,nightshift,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.208,nightshift,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.209,nightshift,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.210,nightshift,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.211,nightshift,4,24,64,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.212,nightshift,4,24,64,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.61.14,tiltedbarn,12,24,385,32768,[2933],DRAM,DDR4,64,72,2,2933
10.243.61.15,tiltedbarn,12,24,385,32768,[2933],DRAM,DDR4,64,72,2,2933
10.243.61.16,tiltedbarn,12,24,385,32768,[2933],DRAM,DDR4,64,72,2,2933
10.243.61.17,tiltedbarn,12,24,385,32768,[2933],DRAM,DDR4,64,72,2,2933
10.243.19.25,enki,4,24,64,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.26,enki,4,24,64,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.27,enki,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.28,enki,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.29,enki,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.172,enki,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.173,enki,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.174,enki,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.175,enki,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.176,enki,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.177,enki,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.178,enki,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.179,enki,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.180,enki,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.140,shipyard,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.141,shipyard,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.142,shipyard,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.143,shipyard,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.144,shipyard,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.145,shipyard,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.146,shipyard,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.147,shipyard,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.148,shipyard,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.149,shipyard,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.151,shipyard,4,24,64,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.186,founders,12,24,385,32768,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.187,founders,12,24,385,32768,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.188,founders,12,24,385,32768,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.189,founders,12,24,385,32768,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.190,founders,12,24,384,32768,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.191,founders,12,24,385,32768,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.192,founders,12,24,385,32768,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.194,founders,12,24,384,32768,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.195,founders,12,24,384,32768,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.196,founders,4,24,64,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.132,samadams,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.133,samadams,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.135,samadams,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.134,samadams,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.136,samadams,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.137,samadams,12,24,192,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.138,samadams,4,24,64,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.139,samadams,4,24,64,16384,[2400],DRAM,DDR4,64,72,2,2400
10.243.19.223,summit,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.224,summit,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.225,summit,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.226,summit,12,24,384,32768,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.227,summit,12,24,384,32768,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.228,summit,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.229,summit,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.230,summit,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.231,summit,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.232,summit,24,24,384,16384,[2666],DRAM,DDR4,64,72,2,2666
10.243.19.233,summit,4,24,64,16384,[2400],DRAM,DDR4,64,72,2,2400
