,rackLabel,idracIP,Id,VolatileSizeMiB,PartNumber,SerialNumber
0,frost,10.243.19.160,iDRAC.Embedded.1#DIMMSLOTA1,0,HMA84GR7AFR4N-VK,51DE8ABA
1,frost,10.243.19.160,iDRAC.Embedded.1#DIMMSLOTA2,0,HMA84GR7AFR4N-VK,51DE8ACD
2,frost,10.243.19.160,iDRAC.Embedded.1#DIMMSLOTA3,0,HMA84GR7AFR4N-VK,51DE8ABB
3,frost,10.243.19.160,iDRAC.Embedded.1#DIMMSLOTA4,0,HMA84GR7AFR4N-VK,51DE8AA9
4,frost,10.243.19.160,iDRAC.Embedded.1#DIMMSLOTA5,0,HMA84GR7AFR4N-VK,420918C8
5,frost,10.243.19.160,iDRAC.Embedded.1#DIMMSLOTA6,0,HMA84GR7AFR4N-VK,4209182B
6,frost,10.243.19.160,iDRAC.Embedded.1#DIMMSLOTB1,0,HMA84GR7AFR4N-VK,420917FE
7,frost,10.243.19.160,iDRAC.Embedded.1#DIMMSLOTB2,0,HMA84GR7AFR4N-VK,420918B3
8,frost,10.243.19.160,iDRAC.Embedded.1#DIMMSLOTB3,0,HMA84GR7AFR4N-VK,42091806
9,frost,10.243.19.160,iDRAC.Embedded.1#DIMMSLOTB4,0,HMA84GR7AFR4N-VK,420917BE
10,frost,10.243.19.160,iDRAC.Embedded.1#DIMMSLOTB5,0,HMA84GR7AFR4N-VK,42091829
11,frost,10.243.19.160,iDRAC.Embedded.1#DIMMSLOTB6,0,HMA84GR7AFR4N-VK,42091828
0,frost,10.243.19.162,iDRAC.Embedded.1#DIMMSLOTA1,0,HMA84GR7AFR4N-VK,117D4D42
1,frost,10.243.19.162,iDRAC.Embedded.1#DIMMSLOTA2,0,HMA84GR7AFR4N-VK,117D4D41
2,frost,10.243.19.162,iDRAC.Embedded.1#DIMMSLOTA3,0,HMA84GR7AFR4N-VK,117D4DB0
3,frost,10.243.19.162,iDRAC.Embedded.1#DIMMSLOTA4,0,HMA84GR7AFR4N-VK,117D4D15
4,frost,10.243.19.162,iDRAC.Embedded.1#DIMMSLOTA5,0,HMA84GR7AFR4N-VK,117D4DA5
5,frost,10.243.19.162,iDRAC.Embedded.1#DIMMSLOTA6,0,HMA84GR7AFR4N-VK,117D4D83
6,frost,10.243.19.162,iDRAC.Embedded.1#DIMMSLOTB1,0,HMA84GR7AFR4N-VK,117D4911
7,frost,10.243.19.162,iDRAC.Embedded.1#DIMMSLOTB2,0,HMA84GR7AFR4N-VK,117D491E
8,frost,10.243.19.162,iDRAC.Embedded.1#DIMMSLOTB3,0,HMA84GR7AFR4N-VK,117D4934
9,frost,10.243.19.162,iDRAC.Embedded.1#DIMMSLOTB4,0,HMA84GR7AFR4N-VK,117D48A8
10,frost,10.243.19.162,iDRAC.Embedded.1#DIMMSLOTB5,0,HMA84GR7AFR4N-VK,117D4880
11,frost,10.243.19.162,iDRAC.Embedded.1#DIMMSLOTB6,0,HMA84GR7AFR4N-VK,117D48CC
0,frost,10.243.19.163,iDRAC.Embedded.1#DIMMSLOTA1,0,HMA84GR7AFR4N-VK,117D4D98
1,frost,10.243.19.163,iDRAC.Embedded.1#DIMMSLOTA2,0,HMA84GR7AFR4N-VK,117D4CED
2,frost,10.243.19.163,iDRAC.Embedded.1#DIMMSLOTA3,0,HMA84GR7AFR4N-VK,117D4D97
3,frost,10.243.19.163,iDRAC.Embedded.1#DIMMSLOTA4,0,HMA84GR7AFR4N-VK,117D4CE7
